EASOC,EA043,EA001,EA002,EAHG,EA_ord_val
Kumeyaay,Patrilineal,50.5,40.5,91,3
Yuki,Bilateral,40.5,30.5,71,3
Klamath,Bilateral,30.5,20.5,51,2
Konjo,Patrilineal,2.5,10.5,13,1
Modoc,Bilateral,50.5,30.5,81,3
Tenino,Bilateral,30.5,20.5,51,2
Nlaka'pamux,Bilateral,20.5,30.5,51,2
Shuswap,Bilateral,30.5,30.5,61,2
Bitterroot Salish,Bilateral,30.5,40.5,71,3
Kalispel,Bilateral,30.5,40.5,71,3
Coeur d’Alene,Bilateral,30.5,40.5,71,3
Sinkaitk,Bilateral,30.5,30.5,61,2
Wenatchi,Bilateral,30.5,30.5,61,2
Klikitat,Bilateral,30.5,30.5,61,2
Nyankole,Bilateral,2.5,10.5,13,1
Wishram,Bilateral,30.5,20.5,51,2
Umatilla,Bilateral,30.5,30.5,61,2
Southern Ute,Bilateral,30.5,60.5,91,3
Nez Perce,Bilateral,30.5,30.5,61,2
Tagotoka,Bilateral,40.5,30.5,71,3
Wadadokado,Bilateral,50.5,30.5,81,3
Atsakudokwa,Bilateral,50.5,30.5,81,3
Kidutokado,Bilateral,40.5,40.5,81,3
Sawakudokwa,Bilateral,50.5,30.5,81,3
Soga,Patrilineal,2.5,2.5,5,1
Kuyuidokado,Bilateral,50.5,20.5,71,3
Toedokado,Bilateral,60.5,30.5,91,3
Tunava,Bilateral,60.5,30.5,91,3
Eastern Mono,Bilateral,50.5,40.5,91,3
Koso,Bilateral,60.5,30.5,91,3
Tümpisa Shoshone,Bilateral,60.5,40.5,100,3
Beatty,Bilateral,80.5,20.5,100,3
Lida Shoshoni,Bilateral,60.5,40.5,100,3
Mahaguaduka,Bilateral,60.5,30.5,91,3
Sumbwa,Patrilineal,2.5,10.5,13,1
Wiyambituka,Bilateral,70.5,30.5,100,3
Railroad Valley Shoshoni,Bilateral,70.5,30.5,100,3
Ely Shoshoni,Bilateral,60.5,30.5,91,3
Sanpoil,Bilateral,30.5,20.5,51,2
Tubaduka,Bilateral,60.5,30.5,91,3
Wadaduka,Bilateral,60.5,30.5,91,3
Elko Shoshoni,Bilateral,50.5,20.5,71,3
White Knife Shoshoni,Bilateral,50.5,40.5,91,3
Yahanduka,Bilateral,30.5,20.5,51,2
Toro,Patrilineal,2.5,2.5,5,1
Bohogue,Bilateral,30.5,50.5,81,3
Tukudika,Bilateral,30.5,40.5,71,3
Agaiduka,Bilateral,30.5,30.5,61,2
Gosiute,Bilateral,50.5,40.5,91,3
Antarianunts,Bilateral,50.5,30.5,81,3
Hukundika,Bilateral,50.5,30.5,81,3
Panguitch,Bilateral,60.5,30.5,91,3
Moapa,Bilateral,60.5,40.5,100,3
Shivwits,Bilateral,50.5,40.5,91,3
Southern Paiute,Bilateral,70.5,30.5,100,3
Southern Paiute,Bilateral,60.5,30.5,91,3
Zinza,Patrilineal,2.5,2.5,5,1
Chemehuevi,Bilateral,60.5,30.5,91,3
San Juan,Bilateral,50.5,30.5,81,3
Pahvant,Bilateral,30.5,50.5,81,3
Uintah Ute,Bilateral,30.5,40.5,71,3
Moanunts,Bilateral,30.5,50.5,81,3
Washo,Bilateral,40.5,30.5,71,3
Moache,Bilateral,40.5,50.5,91,3
Taviwatsiu,Bilateral,30.5,50.5,81,3
Uncompahgre Ute,Bilateral,40.5,50.5,91,3
Xhosa,Patrilineal,10.5,10.5,21,1
Mbugwe,Bilateral,2.5,20.5,23,1
Bannock,Bilateral,30.5,50.5,81,3
Wind River Eastern Shoshone,Bilateral,30.5,50.5,81,3
Hualapai,Bilateral,60.5,40.5,100,3
Yavapai,Bilateral,60.5,40.5,100,3
Tolkepaya,Bilateral,60.5,30.5,91,3
Kutenai,Bilateral,30.5,30.5,61,2
Chilcotin,Bilateral,20.5,30.5,51,2
Lillooet,Bilateral,20.5,30.5,51,2
Gros Ventre,Bilateral,20.5,80.5,100,3
Arikara,Bilateral,2.5,30.5,33,1
Kaguru,Matrilineal,2.5,10.5,13,1
Assiniboine,Bilateral,20.5,70.5,91,3
Blackfoot,Bilateral,20.5,80.5,100,3
Kainai,Bilateral,20.5,80.5,100,3
Bungi,Patrilineal,20.5,60.5,81,3
Hidatsa,Matrilineal,10.5,20.5,31,1
Karankawa,Bilateral,30.5,30.5,61,2
Kiowa,Bilateral,10.5,93,100,3
Piegan,Bilateral,20.5,80.5,100,3
Plains Cree,Bilateral,20.5,60.5,81,3
Kiowa Apache,Bilateral,20.5,80.5,100,3
Ngulu,Matrilineal,2.5,10.5,13,1
Santee,Bilateral,10.5,70.5,81,3
Coahuilteco,Bilateral,40.5,50.5,91,3
Comanche,Bilateral,10.5,93,100,3
Crow,Matrilineal,20.5,80.5,100,3
Cheyenne,Bilateral,20.5,80.5,100,3
Mandan,Matrilineal,2.5,30.5,33,1
Sarcee,Bilateral,20.5,80.5,100,3
Teton,Bilateral,10.5,93,100,3
Arapaho,Bilateral,20.5,80.5,100,3
Nyakyusa,Bilateral,2.5,10.5,13,1
Iowa,Patrilineal,2.5,50.5,53,2
Otoe,Patrilineal,2.5,50.5,53,2
Ponca,Patrilineal,20.5,40.5,61,2
Shawnee,Patrilineal,10.5,40.5,51,2
Caddo,Bilateral,20.5,20.5,41,2
Kickapoo,Patrilineal,20.5,40.5,61,2
Ho Chunk,Patrilineal,20.5,30.5,51,2
Omaha,Patrilineal,10.5,40.5,51,2
Myaamia,Patrilineal,20.5,30.5,51,2
Wichita,Bilateral,10.5,40.5,51,2
Ganda,Patrilineal,2.5,10.5,13,1
Pawnee,Matrilineal,10.5,40.5,51,2
Fox,Bilateral,10.5,40.5,51,2
Hasinai,Bilateral,10.5,30.5,41,2
Menominee,Patrilineal,40.5,20.5,61,2
Huron,Matrilineal,10.5,10.5,21,1
Seneca,Bilateral,10.5,30.5,41,2
Yuchi,Matrilineal,10.5,10.5,21,1
Choctaw,Matrilineal,20.5,20.5,41,2
Abenaki,Bilateral,10.5,40.5,51,2
Chickasaw,Matrilineal,2.5,30.5,33,1
Hehe,Patrilineal,2.5,10.5,13,1
Chitimacha,Bilateral,20.5,20.5,41,2
Muscogee,Matrilineal,20.5,20.5,41,2
Penobscot,Bilateral,20.5,40.5,61,2
Cherokee,Matrilineal,10.5,20.5,31,1
Delaware,Matrilineal,20.5,20.5,41,2
Natchez,Bilateral,2.5,30.5,33,1
Timucua,Matrilineal,20.5,20.5,41,2
Catawba,Bilateral,2.5,10.5,13,1
Chiricahua,Bilateral,60.5,40.5,100,3
Gisu,Patrilineal,2.5,10.5,13,1
Isleta,Bilateral,10.5,10.5,21,1
San Ildefonso,Bilateral,2.5,10.5,13,1
Santa Ana,Matrilineal,10.5,10.5,21,1
Acoma,Matrilineal,10.5,10.5,21,1
Laguna,Matrilineal,10.5,10.5,21,1
Mescalero,Bilateral,40.5,40.5,81,3
Jicarilla,Bilateral,30.5,40.5,71,3
Western Apache,Matrilineal,30.5,40.5,71,3
Hopi,Matrilineal,10.5,10.5,21,1
Cocopa,Patrilineal,20.5,20.5,41,2
Amba,Patrilineal,10.5,10.5,21,1
Hano,Matrilineal,2.5,2.5,5,1
Kamia,Patrilineal,20.5,20.5,41,2
Mojave,Patrilineal,30.5,20.5,51,2
Quechan,Patrilineal,20.5,10.5,31,1
Kewyipaya,Matrilineal,60.5,30.5,91,3
Lipan Apache,Bilateral,60.5,40.5,100,3
Sia,Matrilineal,2.5,10.5,13,1
Santa Clara,Bilateral,2.5,10.5,13,1
Kewa,Matrilineal,2.5,10.5,13,1
Navajo,Matrilineal,20.5,10.5,31,1
Banyaruanda,Patrilineal,2.5,10.5,13,1
Zuni,Matrilineal,10.5,10.5,21,1
Maricopa,Patrilineal,40.5,10.5,51,2
Taos,Bilateral,2.5,20.5,23,1
Cochiti,Matrilineal,2.5,20.5,23,1
Jemez,Matrilineal,10.5,20.5,31,1
Picuris,Bilateral,2.5,20.5,23,1
Tarahumara,Bilateral,10.5,10.5,21,1
Tohono O'odham,Bilateral,30.5,20.5,51,2
Huichol,Bilateral,10.5,20.5,31,1
Seri,Bilateral,20.5,20.5,41,2
Songola,Patrilineal,10.5,20.5,31,1
Chichimeca,Bilateral,50.5,40.5,91,3
Pima,Bilateral,30.5,10.5,41,2
Yaqui,Bilateral,20.5,10.5,31,1
