EASOC,EA043,EA001,EA002,EAHG,EA_ord_val
Awuna,Patrilineal,2.5,10.5,13,1
Builsa,Bilateral,2.5,2.5,5,1
Dagara,Bilateral,2.5,2.5,5,1
Tallensi,Bilateral,10.5,2.5,13,1
Isala,Bilateral,2.5,10.5,13,1
Kusasi,Bilateral,2.5,2.5,5,1
Mbundu,Bilateral,10.5,10.5,21,1
Nunuma,Patrilineal,10.5,10.5,21,1
Vagala,Patrilineal,2.5,2.5,5,1
Dagomba,Bilateral,2.5,2.5,5,1
Gurma,Patrilineal,2.5,10.5,13,1
Manprusi,Bilateral,2.5,2.5,5,1
Mossi,Patrilineal,10.5,10.5,21,1
Basari,Patrilineal,2.5,10.5,13,1
Kabre,Patrilineal,2.5,10.5,13,1
Birifor,Bilateral,10.5,10.5,21,1
Moba,Patrilineal,2.5,10.5,13,1
Venda,Bilateral,10.5,10.5,21,1
Somba,Patrilineal,2.5,2.5,5,1
Tem,Patrilineal,2.5,10.5,13,1
Bisa,Patrilineal,10.5,10.5,21,1
Yalunka,Patrilineal,2.5,2.5,5,1
Futajalonke,Patrilineal,2.5,2.5,5,1
Bozo,Patrilineal,10.5,2.5,13,1
Coniagui,Matrilineal,20.5,10.5,31,1
Malinke,Patrilineal,10.5,10.5,21,1
Katab,Patrilineal,20.5,10.5,31,1
Chawai,Patrilineal,2.5,10.5,13,1
Nama,Patrilineal,10.5,30.5,41,2
Nyaneka,Matrilineal,2.5,10.5,13,1
Basa,Patrilineal,2.5,10.5,13,1
Basakomo,Patrilineal,2.5,10.5,13,1
Kamuku,Patrilineal,2.5,2.5,5,1
Reshe,Patrilineal,2.5,2.5,5,1
Angas,Patrilineal,10.5,2.5,13,1
Birom,Patrilineal,10.5,2.5,13,1
Burmawa,Patrilineal,10.5,2.5,13,1
Adara,Patrilineal,2.5,10.5,13,1
Jukun,Bilateral,2.5,10.5,13,1
Sotho,Patrilineal,10.5,10.5,21,1
Kagoro,Patrilineal,2.5,10.5,13,1
Kurama,Patrilineal,10.5,10.5,21,1
Jibu,Bilateral,2.5,2.5,5,1
Kentu,Patrilineal,2.5,10.5,13,1
Tigon,Patrilineal,2.5,10.5,13,1
Ndoro,Matrilineal,2.5,10.5,13,1
Zuande,Patrilineal,2.5,10.5,13,1
Chamba,Bilateral,2.5,10.5,13,1
Daka,Matrilineal,2.5,2.5,5,1
Ndebele,Patrilineal,2.5,10.5,13,1
Tiv,Bilateral,10.5,20.5,31,1
Longuda,Matrilineal,2.5,2.5,5,1
Mumuye,Patrilineal,2.5,10.5,13,1
Vere,Bilateral,2.5,2.5,5,1
Yungur,Patrilineal,2.5,10.5,13,1
Bata,Patrilineal,2.5,2.5,5,1
Bura,Patrilineal,2.5,2.5,5,1
Gude,Patrilineal,2.5,2.5,5,1
Hwana,Patrilineal,2.5,2.5,5,1
Kapsiki,Patrilineal,2.5,2.5,5,1
Ila,Bilateral,10.5,2.5,13,1
Podokwo,Patrilineal,2.5,2.5,5,1
Mambila,Bilateral,2.5,2.5,5,1
Margi,Patrilineal,2.5,10.5,13,1
Gure,Matrilineal,10.5,20.5,31,1
Mafa,Patrilineal,2.5,2.5,5,1
Bafute,Patrilineal,10.5,10.5,21,1
Anaguta,Patrilineal,10.5,10.5,21,1
Banda,Patrilineal,2.5,20.5,23,1
Otoro,Patrilineal,2.5,20.5,23,1
Mangbetu,Patrilineal,2.5,20.5,23,1
Chewa,Matrilineal,10.5,20.5,31,1
Fali,Patrilineal,10.5,10.5,21,1
Laka,Patrilineal,2.5,10.5,13,1
Mbum,Patrilineal,2.5,30.5,33,1
Mundang,Patrilineal,2.5,2.5,5,1
Gisiga,Patrilineal,2.5,10.5,13,1
Musgu,Patrilineal,2.5,2.5,5,1
Nyaro,Bilateral,2.5,10.5,13,1
Tupuri,Patrilineal,2.5,2.5,5,1
Luvale,Matrilineal,2.5,10.5,13,1
Bagirmi,Patrilineal,10.5,2.5,13,1
Sara,Patrilineal,2.5,10.5,13,1
Bwaka,Patrilineal,2.5,2.5,5,1
Mandja,Patrilineal,2.5,2.5,5,1
Mbandja,Patrilineal,2.5,10.5,13,1
Ngbandi,Patrilineal,2.5,10.5,13,1
Abarambo,Patrilineal,2.5,20.5,23,1
Popoi,Patrilineal,2.5,20.5,23,1
Lendu,Patrilineal,2.5,10.5,13,1
Azande,Patrilineal,10.5,20.5,31,1
Chokwe,Matrilineal,2.5,30.5,33,1
Lese,Patrilineal,2.5,2.5,5,1
Logo,Patrilineal,2.5,20.5,23,1
Lugbara,Patrilineal,10.5,2.5,13,1
Madi,Patrilineal,2.5,10.5,13,1
Moru,Patrilineal,2.5,20.5,23,1
Bongo,Patrilineal,20.5,10.5,31,1
Jur,Patrilineal,2.5,10.5,13,1
Koalib,Patrilineal,2.5,2.5,5,1
Korongo,Matrilineal,2.5,10.5,13,1
Mesakin,Matrilineal,2.5,10.5,13,1
Tonga,Matrilineal,10.5,2.5,13,1
Ingassana,Bilateral,2.5,10.5,13,1
Moro,Patrilineal,2.5,10.5,13,1
Tira,Patrilineal,2.5,10.5,13,1
Tullishi,Bilateral,2.5,10.5,13,1
Nyimang,Patrilineal,2.5,10.5,13,1
Anuak,Patrilineal,2.5,10.5,13,1
Meban,Patrilineal,2.5,10.5,13,1
Koma,Patrilineal,2.5,10.5,13,1
Mao,Patrilineal,10.5,10.5,21,1
Mamvu,Patrilineal,10.5,10.5,21,1
Bakongo,Matrilineal,10.5,10.5,21,1
Shilluk,Patrilineal,10.5,10.5,21,1
Gbaya,Patrilineal,10.5,10.5,21,1
Dilling,Patrilineal,10.5,10.5,21,1
Masa,Patrilineal,2.5,10.5,13,1
Teso,Patrilineal,2.5,10.5,13,1
Acholi,Patrilineal,10.5,10.5,21,1
Dinka,Patrilineal,2.5,10.5,13,1
Lotuko,Patrilineal,2.5,20.5,23,1
Pojulu,Patrilineal,2.5,10.5,13,1
Kakwa,Patrilineal,2.5,2.5,5,1
Mbala,Matrilineal,10.5,2.5,13,1
Kuku,Patrilineal,2.5,10.5,13,1
Mondari,Patrilineal,2.5,10.5,13,1
Alur,Patrilineal,2.5,10.5,13,1
Bodi,Patrilineal,2.5,20.5,23,1
Didinga,Patrilineal,2.5,20.5,23,1
Maasi,Patrilineal,2.5,10.5,13,1
Suri,Patrilineal,2.5,10.5,13,1
Jie,Patrilineal,2.5,2.5,5,1
Labwor,Patrilineal,2.5,10.5,13,1
Plains Suk,Patrilineal,2.5,10.5,13,1
Bergdama,Bilateral,40.5,30.5,71,3
Mitsogho,Matrilineal,10.5,10.5,21,1
Toposa,Patrilineal,10.5,10.5,21,1
Keyu,Patrilineal,10.5,10.5,21,1
Hill Suk,Patrilineal,2.5,10.5,13,1
Sapei,Patrilineal,2.5,20.5,23,1
Tatoga,Patrilineal,2.5,10.5,13,1
Samburu,Patrilineal,2.5,10.5,13,1
Nuer,Patrilineal,2.5,2.5,5,1
Karamojong,Patrilineal,2.5,2.5,5,1
Pari,Patrilineal,2.5,10.5,13,1
Lango,Patrilineal,2.5,10.5,13,1
Suku,Matrilineal,10.5,20.5,31,1
Turkana,Patrilineal,20.5,10.5,31,1
Luo,Patrilineal,2.5,10.5,13,1
Nandi,Bilateral,2.5,2.5,5,1
Bari,Patrilineal,2.5,10.5,13,1
Kipsigis,Patrilineal,2.5,10.5,13,1
Konso,Patrilineal,2.5,2.5,5,1
Esa,Patrilineal,2.5,2.5,5,1
Arusi,Patrilineal,2.5,10.5,13,1
Gibe,Patrilineal,2.5,10.5,13,1
Macha,Bilateral,2.5,10.5,13,1
Sundi,Matrilineal,10.5,10.5,21,1
Burji,Patrilineal,2.5,10.5,13,1
Darasa,Patrilineal,2.5,10.5,13,1
Sidama,Patrilineal,2.5,10.5,13,1
Tsamai,Patrilineal,2.5,10.5,13,1
Arbore,Patrilineal,2.5,2.5,5,1
Banna,Patrilineal,2.5,10.5,13,1
Somali,Patrilineal,2.5,2.5,5,1
Galab,Patrilineal,2.5,10.5,13,1
Hamar,Patrilineal,2.5,10.5,13,1
Male,Patrilineal,2.5,2.5,5,1
Teke,Matrilineal,2.5,10.5,13,1
Bako,Patrilineal,2.5,2.5,5,1
Dime,Patrilineal,2.5,10.5,13,1
Shangama,Patrilineal,2.5,2.5,5,1
Ubamer,Patrilineal,2.5,2.5,5,1
Anfillo,Patrilineal,10.5,2.5,13,1
Basketo,Patrilineal,2.5,2.5,5,1
Yem,Patrilineal,2.5,2.5,5,1
Tigrinya,Bilateral,2.5,2.5,5,1
Kafa,Patrilineal,10.5,10.5,21,1
Beta Israel,Bilateral,2.5,2.5,5,1
Pende,Matrilineal,10.5,2.5,13,1
Nara,Matrilineal,10.5,2.5,13,1
Kunama,Matrilineal,10.5,10.5,21,1
Ababda,Patrilineal,2.5,10.5,13,1
Amarar,Patrilineal,2.5,2.5,5,1
Beni-Amer,Patrilineal,2.5,10.5,13,1
Tigre,Patrilineal,2.5,2.5,5,1
Jimma,Patrilineal,2.5,2.5,5,1
Iraqw,Bilateral,2.5,2.5,5,1
Baditu,Patrilineal,2.5,2.5,5,1
Yaka,Matrilineal,2.5,20.5,23,1
Dorse,Patrilineal,2.5,2.5,5,1
Shako,Patrilineal,2.5,10.5,13,1
Hadendowa,Patrilineal,10.5,10.5,21,1
Bisharin,Patrilineal,2.5,2.5,5,1
Afar,Patrilineal,10.5,2.5,13,1
Amhara,Bilateral,2.5,2.5,5,1
Gurage,Patrilineal,2.5,2.5,5,1
Goroa,Patrilineal,2.5,2.5,5,1
Maguzawa,Patrilineal,2.5,2.5,5,1
Karekare,Patrilineal,10.5,10.5,21,1
Bunda,Matrilineal,2.5,10.5,13,1
Midobi,Matrilineal,2.5,2.5,5,1
Gimma,Patrilineal,2.5,2.5,5,1
Habbaniya,Patrilineal,10.5,10.5,21,1
Hemat,Patrilineal,2.5,2.5,5,1
Messiria Humr,Patrilineal,2.5,2.5,5,1
Shuwa,Patrilineal,10.5,10.5,21,1
Fur,Matrilineal,2.5,2.5,5,1
Kanembu,Bilateral,2.5,2.5,5,1
Kanuri,Bilateral,10.5,2.5,13,1
Wolof,Bilateral,2.5,2.5,5,1
Dzing,Matrilineal,10.5,20.5,31,1
Zerma,Patrilineal,2.5,2.5,5,1
Djafun,Patrilineal,2.5,2.5,5,1
Liptako,Patrilineal,2.5,2.5,5,1
Tukulor,Patrilineal,2.5,2.5,5,1
Wodaabe Fulani,Patrilineal,2.5,2.5,5,1
Tazarawa,Patrilineal,2.5,2.5,5,1
Zazzagawa Hausa,Patrilineal,10.5,2.5,13,1
Bachama,Patrilineal,2.5,10.5,13,1
Dera,Bilateral,2.5,2.5,5,1
Ngizim,Patrilineal,10.5,2.5,13,1
Lele,Matrilineal,2.5,10.5,13,1
Songhai,Patrilineal,2.5,2.5,5,1
Hasania,Patrilineal,2.5,2.5,5,1
Buduma,Patrilineal,10.5,2.5,13,1
Tera,Patrilineal,2.5,10.5,13,1
Bolewa,Patrilineal,10.5,10.5,21,1
Bororo Fulani,Bilateral,2.5,2.5,5,1
Hausa Kanawa,Patrilineal,10.5,2.5,13,1
Regeibat,Patrilineal,2.5,10.5,13,1
Asben,Matrilineal,10.5,10.5,21,1
Azjer,Matrilineal,10.5,10.5,21,1
Sakata,Matrilineal,2.5,10.5,13,1
Udalan Tuareg,Matrilineal,20.5,2.5,23,1
Daza,Patrilineal,10.5,10.5,21,1
Drawa,Patrilineal,2.5,2.5,5,1
Chaambra,Patrilineal,2.5,10.5,13,1
Delim,Patrilineal,2.5,20.5,23,1
Kunta,Patrilineal,20.5,2.5,23,1
Trarza,Patrilineal,2.5,10.5,13,1
Teda,Patrilineal,20.5,2.5,23,1
Zenaga,Patrilineal,2.5,2.5,5,1
Mbuti,Bilateral,30.5,70.5,100,3
Songo,Matrilineal,10.5,20.5,31,1
Siwans,Patrilineal,2.5,2.5,5,1
Mzab,Patrilineal,2.5,2.5,5,1
Kel Antessar,Matrilineal,2.5,10.5,13,1
Kababish,Patrilineal,2.5,10.5,13,1
Barabish,Patrilineal,2.5,2.5,5,1
Tuareg Ahaggar,Matrilineal,10.5,10.5,21,1
Barabra,Patrilineal,2.5,2.5,5,1
Zekara,Patrilineal,2.5,10.5,13,1
Guanche,Matrilineal,2.5,2.5,5,1
Yanzi,Matrilineal,2.5,20.5,23,1
Algerians,Patrilineal,2.5,2.5,5,1
Hamama,Patrilineal,2.5,2.5,5,1
Hamyan,Patrilineal,2.5,2.5,5,1
Jebala,Patrilineal,2.5,2.5,5,1
Moroccans,Patrilineal,2.5,2.5,5,1
Nail,Patrilineal,2.5,10.5,13,1
Saadi,Patrilineal,2.5,10.5,13,1
Sahel,Patrilineal,2.5,2.5,5,1
Egyptians,Patrilineal,2.5,2.5,5,1
Sanusi,Patrilineal,2.5,2.5,5,1
Luchazi,Matrilineal,2.5,10.5,13,1
Tunisians,Patrilineal,2.5,2.5,5,1
Riffians,Patrilineal,2.5,10.5,13,1
Kabyle,Patrilineal,2.5,2.5,5,1
Shluh,Patrilineal,10.5,2.5,13,1
Ancient Egyptians,Bilateral,2.5,2.5,5,1
Beraber,Patrilineal,2.5,10.5,13,1
Shawiya,Patrilineal,10.5,2.5,13,1
Tekna,Patrilineal,2.5,2.5,5,1
Gheg,Bilateral,2.5,2.5,5,1
Portuguese,Bilateral,2.5,2.5,5,1
Luimbe,Matrilineal,2.5,20.5,23,1
Ancient Romans,Bilateral,2.5,2.5,5,1
French Basques,Bilateral,2.5,2.5,5,1
Neapolitans,Bilateral,2.5,2.5,5,1
Spaniards,Bilateral,2.5,2.5,5,1
Greeks,Bilateral,2.5,2.5,5,1
Spanish Basques,Bilateral,2.5,2.5,5,1
New Englanders,Bilateral,2.5,2.5,5,1
Boers,Bilateral,2.5,10.5,13,1
Tristan da Cunha,Bilateral,10.5,2.5,13,1
Brazilians,Bilateral,2.5,10.5,13,1
Luwa,Matrilineal,2.5,10.5,13,1
French Canadians,Bilateral,2.5,2.5,5,1
Dutch,Bilateral,2.5,2.5,5,1
Icelanders,Bilateral,2.5,20.5,23,1
Irish,Bilateral,2.5,10.5,13,1
Sami,Bilateral,2.5,20.5,23,1
Walloons,Bilateral,2.5,2.5,5,1
Serbs,Patrilineal,2.5,2.5,5,1
Romanians,Bilateral,2.5,2.5,5,1
Russians,Bilateral,2.5,2.5,5,1
Bashkir,Bilateral,2.5,2.5,5,1
Bemba,Bilateral,10.5,10.5,21,1
Besermyan,Bilateral,2.5,2.5,5,1
Chuvash,Bilateral,2.5,2.5,5,1
Erzya Mordvins,Bilateral,2.5,2.5,5,1
Estonians,Bilateral,2.5,2.5,5,1
Gagauz,Bilateral,2.5,2.5,5,1
Ingrians,Bilateral,2.5,2.5,5,1
Karelians,Bilateral,2.5,20.5,23,1
Hutsuls,Bilateral,2.5,10.5,13,1
Kazan tatar,Bilateral,2.5,2.5,5,1
Latvians,Bilateral,2.5,2.5,5,1
Plateau Tonga,Matrilineal,2.5,10.5,13,1
Lithuanian Karaim,Bilateral,2.5,2.5,5,1
Lithuanian Tatar,Bilateral,2.5,2.5,5,1
Livs,Bilateral,2.5,2.5,5,1
Moldovans,Bilateral,2.5,2.5,5,1
Udmurt,Bilateral,2.5,2.5,5,1
Veps,Bilateral,10.5,10.5,21,1
Votes,Bilateral,2.5,2.5,5,1
Czechs,Bilateral,2.5,2.5,5,1
Mari,Bilateral,2.5,2.5,5,1
Bulgarians,Bilateral,2.5,2.5,5,1
Buye,Matrilineal,10.5,10.5,21,1
Byelorussians,Bilateral,2.5,2.5,5,1
Ukranians,Bilateral,2.5,2.5,5,1
Magyar,Bilateral,2.5,2.5,5,1
Lithuanians,Bilateral,2.5,2.5,5,1
Kalmyk,Patrilineal,2.5,10.5,13,1
Armenians,Bilateral,2.5,2.5,5,1
Kurd,Bilateral,2.5,2.5,5,1
Abkhaz,Patrilineal,10.5,2.5,13,1
Khevsur,Patrilineal,2.5,10.5,13,1
Kumyk,Bilateral,2.5,2.5,5,1
Kaonde,Matrilineal,2.5,30.5,33,1
Cherkess,Patrilineal,2.5,10.5,13,1
Turks,Patrilineal,2.5,2.5,5,1
Ossetians,Patrilineal,2.5,10.5,13,1
Chechen,Patrilineal,2.5,2.5,5,1
Svan,Patrilineal,2.5,10.5,13,1
Syrians,Patrilineal,2.5,2.5,5,1
Madan,Patrilineal,20.5,2.5,23,1
Rwala,Bilateral,10.5,10.5,21,1
Hebrews,Patrilineal,2.5,20.5,23,1
Lala,Matrilineal,2.5,10.5,13,1
Babylonians,Bilateral,2.5,2.5,5,1
Mutair,Patrilineal,2.5,10.5,13,1
Jordanians,Patrilineal,2.5,2.5,5,1
Lebanese,Patrilineal,2.5,2.5,5,1
Druze,Patrilineal,2.5,2.5,5,1
Yemeni,Patrilineal,2.5,2.5,5,1
Sindhi,Patrilineal,2.5,2.5,5,1
Marri,Patrilineal,10.5,2.5,13,1
Ghilzai,Patrilineal,2.5,2.5,5,1
Qashqui,Patrilineal,2.5,10.5,13,1
Sandawe,Patrilineal,10.5,10.5,21,1
Luapula,Matrilineal,2.5,10.5,13,1
Punjabi,Patrilineal,2.5,2.5,5,1
Yusufzai,Bilateral,2.5,2.5,5,1
Hazara,Patrilineal,2.5,2.5,5,1
Kohistani,Patrilineal,10.5,10.5,21,1
Nuristani,Patrilineal,2.5,10.5,13,1
Basseri,Patrilineal,2.5,10.5,13,1
Moghol,Patrilineal,2.5,2.5,5,1
Bakhtiari,Patrilineal,2.5,10.5,13,1
Iranians,Patrilineal,2.5,2.5,5,1
Kazakh,Patrilineal,2.5,10.5,13,1
Shila,Matrilineal,2.5,10.5,13,1
Tu,Patrilineal,2.5,2.5,5,1
Khalka,Bilateral,2.5,10.5,13,1
Dagur,Patrilineal,2.5,10.5,13,1
Turkmen,Patrilineal,2.5,2.5,5,1
Buryat,Patrilineal,2.5,20.5,23,1
Chahar,Patrilineal,2.5,10.5,13,1
Uzbek,Patrilineal,2.5,10.5,13,1
Nivkh,Patrilineal,20.5,30.5,51,2
Ob Ostyak,Patrilineal,2.5,30.5,33,1
Selkup,Patrilineal,2.5,20.5,23,1
Tumbuka,Patrilineal,2.5,20.5,23,1
Itelmen,Bilateral,30.5,20.5,51,2
Ungazikmit,Bilateral,10.5,20.5,31,1
Mansi,Bilateral,20.5,30.5,51,2
Evenk,Patrilineal,20.5,50.5,71,3
Negidal,Patrilineal,20.5,30.5,51,2
Ulch,Patrilineal,20.5,30.5,51,2
Orok,Patrilineal,20.5,30.5,51,2
Yakut,Patrilineal,10.5,20.5,31,1
Oroch,Patrilineal,20.5,30.5,51,2
Kunda,Matrilineal,10.5,10.5,21,1
Udihe,Patrilineal,20.5,40.5,61,2
Chukchi,Bilateral,2.5,20.5,23,1
Yurak-Samoyeds,Patrilineal,2.5,30.5,33,1
Koryak,Bilateral,10.5,10.5,21,1
Yukaghir,Bilateral,10.5,50.5,61,2
Ainu,Matrilineal,20.5,30.5,51,2
Ket,Patrilineal,2.5,30.5,33,1
Nanai,Patrilineal,2.5,30.5,33,1
Koreans,Patrilineal,2.5,2.5,5,1
Shantung,Patrilineal,2.5,2.5,5,1
Nyanja,Matrilineal,2.5,10.5,13,1
Ishigakians,Patrilineal,2.5,2.5,5,1
Man,Patrilineal,2.5,10.5,13,1
Miyakans,Bilateral,2.5,2.5,5,1
Chekiang,Patrilineal,2.5,2.5,5,1
Cantonese,Patrilineal,2.5,2.5,5,1
Lolo,Patrilineal,2.5,10.5,13,1
Manchu,Patrilineal,2.5,2.5,5,1
Miao,Bilateral,2.5,10.5,13,1
Japanese,Bilateral,2.5,2.5,5,1
Min Chinese,Patrilineal,2.5,2.5,5,1
Nyasa,Matrilineal,2.5,2.5,5,1
Okinawans,Bilateral,2.5,2.5,5,1
Minchia,Patrilineal,2.5,2.5,5,1
Li,Patrilineal,2.5,10.5,13,1
Adi,Patrilineal,2.5,20.5,23,1
Burusho,Patrilineal,2.5,2.5,5,1
Lepcha,Patrilineal,2.5,10.5,13,1
Tibetans,Patrilineal,2.5,2.5,5,1
Shina,Patrilineal,2.5,10.5,13,1
Sherpa,Patrilineal,2.5,2.5,5,1
Kachari,Patrilineal,2.5,10.5,13,1
Kuba,Matrilineal,2.5,10.5,13,1
Magar,Patrilineal,2.5,2.5,5,1
Santal,Patrilineal,2.5,10.5,13,1
Bihari,Patrilineal,2.5,2.5,5,1
Uttar Pradesh,Bilateral,2.5,2.5,5,1
Bengali,Bilateral,2.5,2.5,5,1
Indo-Iranian,Bilateral,2.5,10.5,13,1
Ho,Patrilineal,2.5,10.5,13,1
Bhil,Patrilineal,10.5,10.5,21,1
Kurukh,Patrilineal,2.5,2.5,5,1
Pahari,Bilateral,2.5,2.5,5,1
Sena,Matrilineal,10.5,10.5,21,1
Kashmiri,Patrilineal,10.5,2.5,13,1
Gujarati,Patrilineal,2.5,2.5,5,1
Chenchu,Patrilineal,80.5,10.5,91,3
Telugu,Patrilineal,2.5,2.5,5,1
Koya,Patrilineal,10.5,2.5,13,1
Khond,Patrilineal,2.5,2.5,5,1
Muria Gond,Patrilineal,10.5,20.5,31,1
Reddi,Patrilineal,20.5,2.5,23,1
Tamil,Patrilineal,2.5,2.5,5,1
Madia,Patrilineal,20.5,10.5,31,1
Makonde,Matrilineal,2.5,10.5,13,1
Toda,Bilateral,10.5,2.5,13,1
Kodavas,Patrilineal,2.5,10.5,13,1
Kerala,Matrilineal,2.5,2.5,5,1
Hill Bhuiya,Patrilineal,10.5,10.5,21,1
Kol,Bilateral,10.5,2.5,13,1
Baiga,Patrilineal,10.5,10.5,21,1
Andamanese,Bilateral,40.5,20.5,61,2
Betsileo,Patrilineal,2.5,2.5,5,1
Merina,Bilateral,2.5,2.5,5,1
Tanala,Bilateral,2.5,2.5,5,1
Makua,Matrilineal,2.5,10.5,13,1
Vedda,Matrilineal,40.5,30.5,71,3
Nicobarese,Bilateral,10.5,10.5,21,1
Antandroy,Patrilineal,20.5,2.5,23,1
Sakalava,Patrilineal,2.5,2.5,5,1
Antaisaka,Patrilineal,2.5,2.5,5,1
Garo,Matrilineal,2.5,2.5,5,1
Chakma,Patrilineal,2.5,10.5,13,1
Aimol,Patrilineal,2.5,20.5,23,1
Thado,Patrilineal,2.5,20.5,23,1
Naron,Bilateral,70.5,30.5,100,3
Mambwe,Patrilineal,2.5,10.5,13,1
Angami,Patrilineal,2.5,10.5,13,1
Ao,Patrilineal,2.5,10.5,13,1
Rengma,Patrilineal,2.5,20.5,23,1
Sema,Patrilineal,2.5,10.5,13,1
Karbi,Patrilineal,2.5,20.5,23,1
Palaung,Bilateral,2.5,2.5,5,1
Chin,Patrilineal,2.5,20.5,23,1
Lhota,Patrilineal,10.5,10.5,21,1
Kuki,Patrilineal,2.5,10.5,13,1
Burmese,Bilateral,2.5,2.5,5,1
Lamba,Matrilineal,2.5,20.5,23,1
Maras,Patrilineal,2.5,20.5,23,1
Kachin,Patrilineal,10.5,10.5,21,1
Purum,Patrilineal,2.5,10.5,13,1
Karen,Bilateral,2.5,10.5,13,1
Khasi,Matrilineal,10.5,10.5,21,1
Mogh,Patrilineal,2.5,10.5,13,1
Lamet,Patrilineal,10.5,20.5,31,1
Rade,Matrilineal,2.5,10.5,13,1
Cham,Matrilineal,2.5,2.5,5,1
Lawa,Patrilineal,2.5,2.5,5,1
Ndembu,Matrilineal,2.5,20.5,23,1
Muong,Patrilineal,2.5,10.5,13,1
Senoi,Bilateral,10.5,10.5,21,1
Ancient Khmer,Bilateral,10.5,2.5,13,1
Negri Sembilan,Matrilineal,2.5,2.5,5,1
Mnong Gar,Matrilineal,10.5,2.5,13,1
Semang,Bilateral,40.5,30.5,71,3
Annamese,Patrilineal,2.5,2.5,5,1
Khmer,Bilateral,10.5,2.5,13,1
Moken,Bilateral,10.5,10.5,21,1
Akha,Patrilineal,10.5,20.5,31,1
Yao,Matrilineal,2.5,10.5,13,1
Malays,Bilateral,2.5,2.5,5,1
Thai,Bilateral,2.5,2.5,5,1
Atayal,Bilateral,2.5,20.5,23,1
Bunun,Patrilineal,2.5,30.5,33,1
Puyuma,Bilateral,2.5,10.5,13,1
Sugbuanon,Bilateral,2.5,2.5,5,1
Badjau Tawi-Tawi,Bilateral,2.5,2.5,5,1
Tao,Bilateral,2.5,2.5,5,1
Manobo,Bilateral,10.5,10.5,21,1
Kalinga,Bilateral,2.5,20.5,23,1
Yombe,Matrilineal,2.5,20.5,23,1
Bilaan,Bilateral,2.5,10.5,13,1
Bisayan,Bilateral,2.5,2.5,5,1
Sagada,Bilateral,2.5,2.5,5,1
Ifugao,Bilateral,2.5,20.5,23,1
Subanun,Bilateral,2.5,2.5,5,1
Hanunoo,Bilateral,10.5,2.5,13,1
Paiwan,Bilateral,2.5,20.5,23,1
Tagbanua,Bilateral,2.5,10.5,13,1
Bontok,Bilateral,2.5,10.5,13,1
Ami,Matrilineal,2.5,10.5,13,1
Iban,Bilateral,2.5,2.5,5,1
Javanese,Bilateral,2.5,2.5,5,1
Balinese,Patrilineal,2.5,2.5,5,1
Toba Batak,Patrilineal,2.5,2.5,5,1
Kadazan-Dusun,Bilateral,2.5,10.5,13,1
Minangkabau,Matrilineal,2.5,2.5,5,1
Mentaweians,Bilateral,2.5,10.5,13,1
Anak Dalam,Bilateral,30.5,30.5,61,2
Punan,Bilateral,2.5,10.5,13,1
Macassarese,Bilateral,2.5,2.5,5,1
Bajuni,Patrilineal,2.5,10.5,13,1
Tobelorese,Bilateral,10.5,10.5,21,1
Ambonese,Bilateral,2.5,2.5,5,1
Sumbawanese,Bilateral,2.5,10.5,13,1
Kodi,Bilateral,2.5,2.5,5,1
Alorese,Bilateral,20.5,2.5,23,1
Belu,Matrilineal,2.5,2.5,5,1
Rotinese,Patrilineal,2.5,2.5,5,1
Toradja,Bilateral,2.5,20.5,23,1
Tanimbarese,Patrilineal,10.5,10.5,21,1
Ili-Mandiri,Patrilineal,2.5,10.5,13,1
Shambaa,Patrilineal,2.5,10.5,13,1
Kei,Patrilineal,10.5,10.5,21,1
Sumbanese,Patrilineal,2.5,10.5,13,1
Northern Aranda,Bilateral,60.5,40.5,100,3
Walbiri,Bilateral,60.5,40.5,100,3
Gidjingali,Bilateral,50.5,30.5,81,3
Yir Yoront,Patrilineal,50.5,30.5,81,3
Anindilyagwa,Bilateral,30.5,10.5,41,2
"Yolngu, Dhuwal",Bilateral,50.5,30.5,81,3
Tiwi,Matrilineal,50.5,30.5,81,3
Diyari,Matrilineal,70.5,30.5,100,3
Bena,Bilateral,2.5,10.5,13,1
Kariyarra,Bilateral,30.5,50.5,81,3
Wikmunkan,Patrilineal,40.5,40.5,81,3
Murriny Patha,Patrilineal,70.5,20.5,91,3
Ngiyambaa,Bilateral,30.5,30.5,61,2
Mee,Patrilineal,2.5,10.5,13,1
Motu,Bilateral,10.5,2.5,13,1
Kakoli,Patrilineal,10.5,10.5,21,1
Kwoma,Patrilineal,30.5,20.5,51,2
Kiwai,Patrilineal,10.5,20.5,31,1
Gusii,Patrilineal,2.5,2.5,5,1
Miriam,Patrilineal,2.5,2.5,5,1
Abelam,Patrilineal,20.5,10.5,31,1
Kutubu,Patrilineal,40.5,10.5,51,2
Siane,Patrilineal,10.5,10.5,21,1
Kimam,Bilateral,20.5,10.5,31,1
Marind-Amin,Patrilineal,10.5,20.5,31,1
Wantoat,Bilateral,2.5,20.5,23,1
Koita,Patrilineal,10.5,20.5,31,1
Mailu,Patrilineal,10.5,2.5,13,1
Mekeo,Patrilineal,10.5,10.5,21,1
/Xam,Bilateral,50.5,40.5,91,3
Kiga,Patrilineal,2.5,20.5,23,1
Muju,Patrilineal,10.5,10.5,21,1
Koiari,Patrilineal,10.5,20.5,31,1
Mafulu,Patrilineal,2.5,10.5,13,1
Ngarawapum,Patrilineal,10.5,20.5,31,1
